city,gtfs_files_count,has_gtfs,has_osm,osm_size_mb,has_rcn,rcn_size_mb,has_zone
bialystok,4,True,True,89.61,False,0.0,True
bydgoszcz,1,True,True,95.62,False,0.0,True
czestochowa,1,True,True,56.72,False,0.0,True
elblag,1,True,True,29.03,False,0.0,True
elk,1,True,True,24.81,False,0.0,True
gizycko,1,True,True,9.25,False,0.0,True
gorzow,1,True,True,40.65,False,0.0,True
gzm,3,True,True,762.26,False,0.0,True
kielce,1,True,True,120.77,True,5.45,True
krakow,6,True,True,391.93,True,32.06,True
kutno,1,True,True,10.65,False,0.0,True
legnica,1,True,True,24.73,False,0.0,True
leszno,1,True,True,22.21,False,0.0,True
lodz,2,True,True,121.29,False,0.0,True
lomza,1,True,True,10.78,False,0.0,True
lublin,1,True,True,133.7,False,0.0,True
olsztyn,1,True,True,45.28,False,0.0,True
opole,1,True,True,44.25,False,0.0,True
polish-trains,1,True,True,4.58,False,0.0,True
poznan,5,True,True,476.81,False,0.0,True
przemysl,1,True,True,22.08,False,0.0,True
radom,1,True,True,101.95,True,2.47,True
rail,4,True,True,6.64,False,0.0,True
rzeszow,2,True,True,188.43,False,0.0,True
suwalki,1,True,True,18.06,False,0.0,True
swinoujscie,1,True,True,15.01,False,0.0,True
szczecin,2,True,True,175.76,False,0.0,True
torun,1,True,True,101.52,False,0.0,True
tribus,1,True,True,114.19,False,0.0,True
trojmiasto,5,True,True,260.47,False,0.0,True
warszawa,12,True,True,956.21,True,64.24,True
wroclaw,5,True,True,334.62,False,0.0,True
