teryt_code,county_name,stop_count
1465,powiat Warszawa,9669
1261,powiat Kraków,5425
3021,powiat poznański,4060
0264,powiat Wrocław,3919
3064,powiat Poznań,3002
2261,powiat Gdańsk,2814
1206,powiat krakowski,2642
1061,powiat Łódź,2018
1418,powiat piaseczyński,1710
1816,powiat rzeszowski,1460
2814,powiat olsztyński,1382
1434,powiat wołomiński,1380
2262,powiat Gdynia,1360
3262,powiat Szczecin,1335
1432,powiat warszawski zachodni,1267
0223,powiat wrocławski,1163
2401,powiat będziński,972
0461,powiat Bydgoszcz,902
1863,powiat Rzeszów,899
2002,powiat białostocki,886
2215,powiat wejherowski,877
0663,powiat Lublin,839
1421,powiat pruszkowski,839
2061,powiat Białystok,817
2469,powiat Katowice,797
2464,powiat Częstochowa,795
1405,powiat grodziski,754
1408,powiat legionowski,733
2604,powiat kielecki,718
2661,powiat Kielce,681
2413,powiat tarnogórski,657
0463,powiat Toruń,647
2862,powiat Olsztyn,631
1463,powiat Radom,602
2475,powiat Sosnowiec,512
1661,powiat Opole,489
3025,powiat średzki,484
2465,powiat Dąbrowa Górnicza,471
2405,powiat gliwicki,470
2473,powiat Rybnik,458
2466,powiat Gliwice,446
1417,powiat otwocki,425
0609,powiat lubelski,421
2477,powiat Tychy,413
0214,powiat oleśnicki,409
0861,powiat Gorzów Wielkopolski,405
1219,powiat wielicki,396
2408,powiat mikołowski,377
2478,powiat Zabrze,372
2805,powiat ełcki,357
2415,powiat wodzisławski,350
0403,powiat bydgoski,350
2462,powiat Bytom,349
1412,powiat miński,342
2414,powiat bieruńsko-lędziński,342
0415,powiat toruński,326
1006,powiat łódzki wschodni,325
2412,powiat rybnicki,319
2861,powiat Elbląg,316
2204,powiat gdański,313
3211,powiat policki,306
2264,powiat Sopot,303
2815,powiat ostródzki,296
2472,powiat Ruda Śląska,281
2211,powiat pucki,277
2205,powiat kartuski,276
2470,powiat Mysłowice,267
1008,powiat pabianicki,265
2063,powiat Suwałki,262
1002,powiat kutnowski,257
2410,powiat pszczyński,253
2463,powiat Chorzów,242
1414,powiat nowodworski,233
1862,powiat Przemyśl,231
1020,powiat zgierski,229
2810,powiat mrągowski,226
3011,powiat kościański,223
0262,powiat Legnica,221
0218,powiat średzki,212
3026,powiat śremski,211
2479,powiat Żory,206
3263,powiat Świnoujście,205
2467,powiat Jastrzębie-Zdrój,203
3063,powiat Leszno,198
3204,powiat goleniowski,197
3015,powiat nowotomyski,191
3024,powiat szamotulski,181
2404,powiat częstochowski,176
1016,powiat tomaszowski,171
1425,powiat radomski,170
2062,powiat Łomża,168
0209,powiat legnicki,166
2806,powiat giżycki,158
1428,powiat sochaczewski,154
1609,powiat opolski,145
2474,powiat Siemianowice Śląskie,136
1819,powiat strzyżowski,135
2816,powiat piski,131
2817,powiat szczycieński,129
0220,powiat trzebnicki,124
1810,powiat łańcucki,121
0208,powiat kłodzki,117
3013,powiat leszczyński,116
2809,powiat lidzbarski,113
1813,powiat przemyski,111
2471,powiat Piekary Śląskie,109
0617,powiat świdnicki,109
2005,powiat hajnowski,109
2476,powiat Świętochłowice,108
3005,powiat grodziski,103
2403,powiat cieszyński,103
1218,powiat wadowicki,84
1210,powiat nowosądecki,80
2804,powiat elbląski,77
2012,powiat suwalski,76
0801,powiat gorzowski,75
1607,powiat nyski,72
2212,powiat słupski,72
3014,powiat międzychodzki,71
1808,powiat leżajski,69
1213,powiat oświęcimski,68
1806,powiat kolbuszowski,65
1009,powiat pajęczański,64
0219,powiat świdnicki,63
3214,powiat stargardzki,63
1021,powiat brzeziński,63
1003,powiat łaski,59
3207,powiat kamieński,56
2417,powiat żywiecki,53
1001,powiat bełchatowski,52
3017,powiat ostrowski,52
3215,powiat szczecinecki,52
1007,powiat opoczyński,51
0206,powiat karkonoski,50
0414,powiat świecki,49
3206,powiat gryfiński,49
2202,powiat chojnicki,48
1211,powiat nowotarski,48
0809,powiat zielonogórski,47
1438,powiat żyrardowski,45
2610,powiat skarżyski,45
2416,powiat zawierciański,44
3016,powiat obornicki,44
3031,powiat złotowski,43
1215,powiat suski,43
2411,powiat raciborski,43
0601,powiat bialski,43
1815,powiat ropczycko-sędziszowski,42
